Date,Time,Analysis,Row,Identifier 1,FileHeader: Filename,Peak Nr.,Is Ref.?,Start,Rt,End,Width,Area All,Ampl. 44,BGD 44,R 13C/12C,d 13C/12C,d 18O/16O,Component
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,14,0,3759.5,3787.5,3791.7,32.2,41.788,1427,5.2,0.0111380,-3.773,0.098,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,1,0,37.4,66.3,69.4,32.0,41.633,1431,4.2,0.0111419,-3.425,0.099,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.398,1416,4.9,0.0111396,-3.632,0.049,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,3,1,156.8,185.4,188.9,32.2,41.436,1417,5.0,0.0111388,-3.700,-0.000,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,4,0,216.5,245.2,248.7,32.2,41.479,1419,5.1,0.0111387,-3.715,-0.069,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,5,0,1737.0,1857.6,1917.2,180.2,33.134,229,4.2,0.0108497,-29.559,-2.644,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,6,0,1980.1,1990.1,1998.7,18.6,0.449,59,181.6,0.0108507,-29.470,-2.643,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,7,0,2025.0,2041.1,2048.0,23.0,0.645,61,170.4,0.0108551,-29.075,-0.545,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,8,0,2471.4,2477.7,2484.2,12.7,0.445,68,146.3,0.0108281,-31.491,-2.899,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,9,0,2638.0,2649.1,2661.2,23.2,5.119,579,118.9,0.0108501,-29.523,-2.648,S-Metolachlor
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,10,0,3156.3,3161.3,3168.9,12.5,0.267,52,143.7,0.0109078,-24.363,-6.357,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,11,0,3401.7,3409.2,3417.4,15.7,0.722,103,131.7,0.0108554,-29.051,-1.923,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,12,0,3488.2,3667.7,3668.4,180.2,29.891,384,144.6,0.0108551,-29.080,-3.108,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,13,0,3699.9,3729.2,3731.9,32.0,42.085,1441,5.1,0.0111360,-3.956,-0.080,
05/21/16,18:58:26,12216,112,AW_T_3-2,AW_T_3-2_-0001.dxf,14,0,3759.5,3789.0,3791.7,32.2,42.149,1440,5.2,0.0111360,-3.957,-0.120,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.572,1426,4.3,0.0111399,-3.608,0.057,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.387,1416,4.9,0.0111387,-3.715,0.024,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,3,1,156.8,186.2,188.7,32.0,41.480,1418,5.1,0.0111388,-3.700,-0.000,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,4,0,216.5,246.0,248.5,32.0,41.474,1419,5.2,0.0111383,-3.750,0.037,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,5,0,1737.0,1857.0,1917.2,180.2,32.779,220,4.2,0.0108491,-29.612,-3.145,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,6,0,2024.2,2040.0,2047.2,23.0,0.572,50,170.7,0.0108397,-30.457,-1.501,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,7,0,2470.8,2477.1,2483.8,13.0,0.457,72,148.1,0.0108131,-32.835,-4.463,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,8,0,2637.4,2648.2,2660.4,23.0,4.864,570,118.6,0.0108377,-30.633,-4.907,S-Metolachlor
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,9,0,3401.1,3408.6,3416.7,15.7,0.677,96,130.6,0.0108389,-30.527,-1.688,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,10,0,3554.5,3667.5,3671.1,116.6,16.729,291,232.3,0.0108653,-28.166,-6.572,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,11,0,3699.9,3729.4,3731.9,32.0,41.925,1434,5.1,0.0111378,-3.795,0.044,
05/21/16,20:09:18,12217,113,AW_T_3-3,AW_T_3-3_-0001.dxf,12,0,3759.5,3789.2,3791.7,32.2,41.918,1431,5.2,0.0111373,-3.835,-0.041,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,1,0,37.4,66.7,69.4,32.0,41.455,1424,4.2,0.0111411,-3.496,0.005,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.365,1417,4.9,0.0111396,-3.631,-0.022,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,3,1,156.8,185.4,188.9,32.2,41.385,1414,5.0,0.0111388,-3.700,-0.000,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,4,0,216.5,246.0,248.5,32.0,41.383,1416,5.1,0.0111388,-3.700,-0.007,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,5,0,1737.2,1857.8,1917.4,180.2,31.655,216,4.1,0.0108554,-29.049,-6.729,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,6,0,2025.2,2041.1,2048.4,23.2,0.636,57,166.8,0.0108776,-27.070,-6.457,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,7,0,2471.6,2477.9,2485.0,13.4,0.580,89,139.5,0.0108253,-31.741,-4.946,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,8,0,2563.6,2569.9,2582.8,19.2,0.548,60,128.3,0.0108827,-26.609,-7.862,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,9,0,2638.0,2649.3,2661.6,23.6,5.601,652,115.3,0.0108462,-29.875,-5.702,S-Metolachlor
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,10,0,3156.1,3161.3,3169.3,13.2,0.331,63,142.7,0.0108236,-31.893,2.760,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,11,0,3401.5,3409.4,3418.6,17.1,0.846,116,124.0,0.0108539,-29.188,-5.689,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,12,0,3488.4,3668.6,3668.6,180.2,28.311,379,131.2,0.0108647,-28.223,-4.691,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,13,0,3668.8,3668.8,3671.3,2.5,0.049,70,453.1,0.0102263,-85.322,1050.798,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,14,0,3699.9,3729.4,3731.9,32.0,41.802,1431,5.1,0.0111381,-3.764,-0.167,
05/21/16,22:19:02,12219,115,AW_S_3-1,AW_S_3-1_-0001.dxf,15,0,3759.5,3788.8,3791.7,32.2,41.845,1431,5.1,0.0111378,-3.789,-0.141,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,1,0,37.4,66.7,69.4,32.0,41.457,1424,4.3,0.0111407,-3.537,0.033,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.281,1412,4.9,0.0111390,-3.681,-0.001,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,3,1,156.8,185.8,188.9,32.2,41.406,1415,5.1,0.0111388,-3.700,-0.000,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,4,0,216.5,246.0,248.5,32.0,41.393,1416,5.1,0.0111384,-3.739,-0.042,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,5,0,1737.2,1856.5,1917.4,180.2,33.007,223,4.2,0.0108532,-29.251,-7.211,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,6,0,2024.6,2040.7,2047.8,23.2,0.603,52,173.5,0.0108596,-28.680,-4.403,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,7,0,2471.2,2477.5,2484.6,13.4,0.576,88,146.0,0.0108398,-30.444,-7.548,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,8,0,2563.2,2569.7,2582.6,19.4,0.523,57,134.2,0.0108629,-28.384,-5.341,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,9,0,2637.8,2649.1,2661.2,23.4,5.540,646,122.8,0.0108512,-29.431,-5.173,S-Metolachlor
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,10,0,3155.9,3161.1,3168.9,13.0,0.317,62,149.7,0.0108236,-31.898,-5.562,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,11,0,3401.3,3409.2,3418.2,16.9,0.808,114,135.2,0.0108437,-30.101,-4.367,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,12,0,3488.2,3667.5,3668.4,180.2,30.726,397,145.9,0.0108572,-28.890,-3.503,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,13,0,3668.6,3668.8,3671.3,2.7,0.052,61,488.7,0.0107416,-39.233,-20.431,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,14,0,3699.9,3729.4,3731.9,32.0,41.689,1429,5.1,0.0111373,-3.834,0.055,
05/21/16,23:29:48,12220,116,AW_S_3-2,AW_S_3-2_-0001.dxf,15,0,3759.7,3788.8,3791.7,32.0,41.765,1427,5.2,0.0111370,-3.866,0.072,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,1,0,37.2,66.3,69.4,32.2,41.435,1420,4.3,0.0111409,-3.514,0.085,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.221,1409,4.9,0.0111393,-3.660,0.009,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.317,1413,5.1,0.0111388,-3.700,-0.000,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,4,0,216.5,246.0,248.5,32.0,41.313,1413,5.1,0.0111383,-3.743,-0.033,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,5,0,1737.2,1854.2,1917.4,180.2,32.609,220,4.2,0.0108529,-29.272,-7.618,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,6,0,2023.7,2040.0,2047.2,23.4,0.586,50,171.7,0.0108565,-28.954,-2.420,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,7,0,2470.8,2476.9,2484.0,13.2,0.567,88,146.7,0.0108475,-29.761,-7.080,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,8,0,2562.5,2569.0,2582.0,19.4,0.533,59,134.8,0.0108616,-28.495,-8.427,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,9,0,2637.2,2648.4,2660.6,23.4,5.517,651,123.1,0.0108407,-30.364,-5.809,S-Metolachlor
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,10,0,3155.5,3160.7,3168.4,13.0,0.314,61,151.5,0.0108435,-30.120,-8.940,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,11,0,3400.6,3408.6,3417.8,17.1,0.806,112,138.5,0.0108334,-31.019,-3.606,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,12,0,3487.8,3667.5,3667.9,180.2,31.870,412,150.2,0.0108588,-28.752,-4.703,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,13,0,3668.4,3668.8,3671.3,2.9,0.058,60,504.0,0.0107943,-34.516,12.946,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,14,0,3699.9,3729.4,3731.9,32.0,41.693,1428,5.1,0.0111386,-3.725,-0.036,
05/22/16,00:40:36,12221,117,AW_S_3-3,AW_S_3-3_-0001.dxf,15,0,3759.7,3789.2,3791.7,32.0,41.763,1428,5.2,0.0111386,-3.716,-0.072,
