"Date";"DateCheck";"sampleQ"
2016-05-02 06:57:00;"02/05/2016 06:57";8
2016-05-02 09:10:00;"02/05/2016 09:10";9
2016-05-02 11:29:00;"02/05/2016 11:29";9
2016-05-02 13:58:00;"02/05/2016 13:58";9
2016-05-02 16:41:00;"02/05/2016 16:41";10
2016-05-02 19:39:00;"02/05/2016 19:39";10
2016-05-02 22:58:00;"02/05/2016 22:58";10
2016-05-03 02:42:00;"03/05/2016 02:42";11
2016-05-03 07:00:00;"03/05/2016 07:00";11
2016-05-03 12:00:00;"03/05/2016 12:00";11
2016-05-03 16:11:00;"03/05/2016 16:11";1
2016-05-03 21:56:00;"03/05/2016 21:56";1
2016-05-04 04:59:00;"04/05/2016 04:59";1
2016-05-04 12:50:00;"04/05/2016 12:50";2
2016-05-04 20:47:00;"04/05/2016 20:47";2
2016-05-05 05:14:00;"05/05/2016 05:14";2
2016-05-05 14:23:00;"05/05/2016 14:23";3
2016-05-05 22:55:00;"05/05/2016 22:55";3
2016-05-06 07:01:00;"06/05/2016 07:01";3
2016-05-06 14:37:00;"06/05/2016 14:37";4
2016-05-06 21:06:00;"06/05/2016 21:06";4
2016-05-07 05:29:00;"07/05/2016 05:29";4
2016-05-07 14:24:00;"07/05/2016 14:24";5
2016-05-07 22:53:00;"07/05/2016 22:53";5
2016-05-10 00:05:00;"10/05/2016 00:05";5
2016-05-11 01:59:00;"11/05/2016 01:59";1
2016-05-11 15:11:00;"11/05/2016 15:11";1
2016-05-11 19:18:00;"11/05/2016 19:18";1
2016-05-11 20:26:00;"11/05/2016 20:26";2
2016-05-11 21:03:00;"11/05/2016 21:03";2
2016-05-11 22:39:00;"11/05/2016 22:39";2
2016-05-12 01:06:00;"12/05/2016 01:06";3
2016-05-12 03:42:00;"12/05/2016 03:42";3
2016-05-12 06:33:00;"12/05/2016 06:33";3
2016-05-12 07:57:00;"12/05/2016 07:57";4
2016-05-12 08:10:00;"12/05/2016 08:10";4
2016-05-12 08:13:00;"12/05/2016 08:13";4
2016-05-12 08:15:00;"12/05/2016 08:15";5
2016-05-12 08:18:00;"12/05/2016 08:18";5
2016-05-12 08:21:00;"12/05/2016 08:21";5
2016-05-12 08:24:00;"12/05/2016 08:24";6
2016-05-12 08:27:00;"12/05/2016 08:27";6
2016-05-12 08:30:00;"12/05/2016 08:30";6
2016-05-12 08:34:00;"12/05/2016 08:34";7
2016-05-12 08:39:00;"12/05/2016 08:39";7
2016-05-12 08:45:00;"12/05/2016 08:45";7
2016-05-12 08:52:00;"12/05/2016 08:52";8
2016-05-12 09:01:00;"12/05/2016 09:01";8
2016-05-12 09:12:00;"12/05/2016 09:12";8
2016-05-12 09:26:00;"12/05/2016 09:26";9
2016-05-12 09:41:00;"12/05/2016 09:41";9
2016-05-12 09:57:00;"12/05/2016 09:57";9
2016-05-12 10:12:00;"12/05/2016 10:12";10
2016-05-12 10:27:00;"12/05/2016 10:27";10
2016-05-12 10:44:00;"12/05/2016 10:44";10
2016-05-12 11:03:00;"12/05/2016 11:03";11
2016-05-12 11:22:00;"12/05/2016 11:22";11
2016-05-12 11:43:00;"12/05/2016 11:43";11
2016-05-12 12:04:00;"12/05/2016 12:04";12
2016-05-12 12:28:00;"12/05/2016 12:28";12
2016-05-12 12:52:00;"12/05/2016 12:52";12
2016-05-13 18:05:00;"13/05/2016 18:05";1
2016-05-13 21:06:00;"13/05/2016 21:06";1
2016-05-14 01:14:00;"14/05/2016 01:14";1
2016-05-14 06:17:00;"14/05/2016 06:17";2
2016-05-14 12:26:00;"14/05/2016 12:26";2
2016-05-14 19:54:00;"14/05/2016 19:54";2
2016-05-15 05:38:00;"15/05/2016 05:38";3
2016-05-15 19:44:00;"15/05/2016 19:44";3
2016-05-16 15:11:00;"16/05/2016 15:11";3
2016-05-18 02:56:00;"18/05/2016 02:56";1
2016-05-18 22:41:00;"18/05/2016 22:41";1
2016-05-19 19:09:00;"19/05/2016 19:09";1
2016-05-20 14:09:00;"20/05/2016 14:09";2
2016-05-21 09:59:00;"21/05/2016 09:59";2
2016-05-22 03:56:00;"22/05/2016 03:56";2
2016-05-22 19:20:00;"22/05/2016 19:20";3
2016-05-23 18:02:00;"23/05/2016 18:02";3
2016-05-25 03:38:00;"25/05/2016 03:38";1
2016-05-25 16:20:00;"25/05/2016 16:20";1
2016-05-26 04:34:00;"26/05/2016 04:34";1
2016-05-26 17:41:00;"26/05/2016 17:41";2
2016-05-27 06:24:00;"27/05/2016 06:24";2
2016-05-27 19:37:00;"27/05/2016 19:37";2
2016-05-28 09:00:00;"28/05/2016 09:00";3
2016-05-28 22:35:00;"28/05/2016 22:35";3
2016-05-29 12:09:00;"29/05/2016 12:09";3
2016-05-29 17:39:00;"29/05/2016 17:39";4
2016-05-29 17:55:00;"29/05/2016 17:55";4
2016-05-29 18:19:00;"29/05/2016 18:19";4
2016-05-29 19:53:00;"29/05/2016 19:53";5
2016-05-30 01:53:00;"30/05/2016 01:53";5
2016-05-30 05:48:00;"30/05/2016 05:48";5
2016-05-30 06:46:00;"30/05/2016 06:46";6
2016-05-30 07:39:00;"30/05/2016 07:39";6
2016-05-30 08:25:00;"30/05/2016 08:25";6
2016-05-30 09:06:00;"30/05/2016 09:06";7
2016-05-30 09:42:00;"30/05/2016 09:42";7
2016-05-30 10:06:00;"30/05/2016 10:06";7
2016-05-30 10:32:00;"30/05/2016 10:32";8
2016-05-30 10:54:00;"30/05/2016 10:54";8
2016-05-30 11:17:00;"30/05/2016 11:17";8
2016-05-30 11:38:00;"30/05/2016 11:38";9
2016-05-30 11:55:00;"30/05/2016 11:55";9
2016-05-30 12:11:00;"30/05/2016 12:11";9
2016-05-30 12:31:00;"30/05/2016 12:31";10
2016-05-30 12:56:00;"30/05/2016 12:56";10
