Time;Cumm.mm
20/04/2016 09:02;0
20/04/2016 09:32;0
20/04/2016 10:02;0
20/04/2016 10:32;0
20/04/2016 11:02;0
20/04/2016 11:32;0
20/04/2016 12:02;0
20/04/2016 12:32;0
20/04/2016 13:02;0
20/04/2016 13:32;0
20/04/2016 14:02;0
20/04/2016 14:32;0
20/04/2016 15:02;0
20/04/2016 15:32;0
20/04/2016 16:02;0
20/04/2016 16:32;0
20/04/2016 17:02;0
20/04/2016 17:32;0
20/04/2016 18:02;0
20/04/2016 18:32;0
20/04/2016 19:02;0
20/04/2016 19:32;0
20/04/2016 20:02;0
20/04/2016 20:32;0
20/04/2016 21:02;0
20/04/2016 21:32;0
20/04/2016 22:02;0
20/04/2016 22:32;0
20/04/2016 23:02;0
20/04/2016 23:32;0
21/04/2016 00:02;0
21/04/2016 00:32;0
21/04/2016 01:02;0
21/04/2016 01:32;0
21/04/2016 02:02;0
21/04/2016 02:32;0
21/04/2016 03:02;0
21/04/2016 03:32;0
21/04/2016 04:02;0
21/04/2016 04:32;0
21/04/2016 05:02;0
21/04/2016 05:32;0
21/04/2016 06:02;0
21/04/2016 06:32;0
21/04/2016 07:02;0
21/04/2016 07:32;0
21/04/2016 08:02;0
21/04/2016 08:32;0
21/04/2016 09:02;0
21/04/2016 09:32;0
21/04/2016 10:02;0
21/04/2016 10:32;0
21/04/2016 11:02;0
21/04/2016 11:32;0
21/04/2016 12:02;0
21/04/2016 12:32;0
21/04/2016 13:02;0
21/04/2016 13:32;0
21/04/2016 14:02;0
21/04/2016 14:32;0
21/04/2016 15:02;0
21/04/2016 15:32;0
21/04/2016 16:02;0
21/04/2016 16:32;0
21/04/2016 17:02;0
21/04/2016 17:32;0
21/04/2016 18:02;0
21/04/2016 18:32;0
21/04/2016 19:02;0
21/04/2016 19:32;0
21/04/2016 20:02;0
21/04/2016 20:32;0
21/04/2016 21:02;0
21/04/2016 21:32;0
21/04/2016 22:02;0
