"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 05:14:00;"25/03/2016 05:14";1,154;1,154
2016-03-25 05:16:00;"25/03/2016 05:16";1,202;1,202
2016-03-25 05:18:00;"25/03/2016 05:18";1,204;1,204
2016-03-25 05:20:00;"25/03/2016 05:20";1,208;1,208
2016-03-25 05:22:00;"25/03/2016 05:22";1,241;1,241
2016-03-25 05:24:00;"25/03/2016 05:24";1,201;1,201
2016-03-25 05:26:00;"25/03/2016 05:26";1,157;1,157
2016-03-25 05:28:00;"25/03/2016 05:28";1,208;1,208
2016-03-25 05:30:00;"25/03/2016 05:30";1,247;1,247
2016-03-25 05:32:00;"25/03/2016 05:32";1,216;1,216
2016-03-25 05:34:00;"25/03/2016 05:34";1,211;1,211
2016-03-25 05:36:00;"25/03/2016 05:36";1,191;1,191
2016-03-25 05:38:00;"25/03/2016 05:38";1,248;1,248
2016-03-25 05:40:00;"25/03/2016 05:40";1,207;1,207
2016-03-25 05:42:00;"25/03/2016 05:42";1,22;1,22
2016-03-25 05:44:00;"25/03/2016 05:44";1,215;1,215
2016-03-25 05:46:00;"25/03/2016 05:46";1,174;1,174
2016-03-25 05:48:00;"25/03/2016 05:48";1,242;1,242
2016-03-25 05:50:00;"25/03/2016 05:50";1,217;1,217
2016-03-25 05:52:00;"25/03/2016 05:52";1,185;1,185
2016-03-25 05:54:00;"25/03/2016 05:54";1,226;1,226
2016-03-25 05:56:00;"25/03/2016 05:56";1,178;1,178
2016-03-25 05:58:00;"25/03/2016 05:58";1,216;1,216
2016-03-25 06:00:00;"25/03/2016 06:00";1,203;1,203
2016-03-25 06:02:00;"25/03/2016 06:02";1,2;1,2
2016-03-25 06:04:00;"25/03/2016 06:04";1,196;1,196
2016-03-25 06:06:00;"25/03/2016 06:06";1,241;1,241
2016-03-25 06:08:00;"25/03/2016 06:08";1,263;1,263
2016-03-25 06:10:00;"25/03/2016 06:10";1,211;1,211
2016-03-25 06:12:00;"25/03/2016 06:12";1,215;1,215
2016-03-25 06:14:00;"25/03/2016 06:14";1,231;1,231
2016-03-25 06:16:00;"25/03/2016 06:16";1,211;1,211
2016-03-25 06:18:00;"25/03/2016 06:18";1,186;1,186
2016-03-25 06:20:00;"25/03/2016 06:20";1,236;1,236
2016-03-25 06:22:00;"25/03/2016 06:22";1,225;1,225
2016-03-25 06:24:00;"25/03/2016 06:24";1,268;1,268
2016-03-25 06:26:00;"25/03/2016 06:26";1,227;1,227
2016-03-25 06:28:00;"25/03/2016 06:28";1,167;1,167
2016-03-25 06:30:00;"25/03/2016 06:30";1,223;1,223
2016-03-25 06:32:00;"25/03/2016 06:32";1,205;1,205
2016-03-25 06:34:00;"25/03/2016 06:34";1,215;1,215
2016-03-25 06:36:00;"25/03/2016 06:36";1,215;1,215
2016-03-25 06:38:00;"25/03/2016 06:38";1,217;1,217
2016-03-25 06:40:00;"25/03/2016 06:40";1,201;1,201
2016-03-25 06:42:00;"25/03/2016 06:42";1,213;1,213
2016-03-25 06:44:00;"25/03/2016 06:44";1,218;1,218
2016-03-25 06:46:00;"25/03/2016 06:46";1,242;1,242
2016-03-25 06:48:00;"25/03/2016 06:48";1,256;1,256
2016-03-25 06:50:00;"25/03/2016 06:50";1,215;1,215
2016-03-25 06:52:00;"25/03/2016 06:52";1,221;1,221
2016-03-25 06:54:00;"25/03/2016 06:54";1,226;1,226
2016-03-25 06:56:00;"25/03/2016 06:56";1,221;1,221
2016-03-25 06:58:00;"25/03/2016 06:58";1,215;1,215
2016-03-25 07:00:00;"25/03/2016 07:00";1,25;1,25
2016-03-25 07:02:00;"25/03/2016 07:02";1,262;1,262
2016-03-25 07:04:00;"25/03/2016 07:04";1,224;1,224
2016-03-25 07:06:00;"25/03/2016 07:06";1,201;1,201
2016-03-25 07:08:00;"25/03/2016 07:08";1,225;1,225
2016-03-25 07:10:00;"25/03/2016 07:10";1,224;1,224
2016-03-25 07:12:00;"25/03/2016 07:12";1,224;1,224
2016-03-25 07:14:00;"25/03/2016 07:14";1,157;1,157
2016-03-25 07:16:00;"25/03/2016 07:16";1,216;1,216
2016-03-25 07:18:00;"25/03/2016 07:18";1,26;1,26
2016-03-25 07:20:00;"25/03/2016 07:20";1,2;1,2
2016-03-25 07:22:00;"25/03/2016 07:22";1,212;1,212
2016-03-25 07:24:00;"25/03/2016 07:24";1,211;1,211
2016-03-25 07:26:00;"25/03/2016 07:26";1,258;1,258
2016-03-25 07:28:00;"25/03/2016 07:28";1,216;1,216
2016-03-25 07:30:00;"25/03/2016 07:30";1,194;1,194
2016-03-25 07:32:00;"25/03/2016 07:32";1,21;1,21
2016-03-25 07:34:00;"25/03/2016 07:34";1,229;1,229
2016-03-25 07:36:00;"25/03/2016 07:36";1,231;1,231
2016-03-25 07:38:00;"25/03/2016 07:38";1,215;1,215
2016-03-25 07:40:00;"25/03/2016 07:40";1,261;1,261
2016-03-25 07:42:00;"25/03/2016 07:42";1,212;1,212
2016-03-25 07:44:00;"25/03/2016 07:44";1,201;1,201
2016-03-25 07:46:00;"25/03/2016 07:46";1,219;1,219
2016-03-25 07:48:00;"25/03/2016 07:48";1,205;1,205
2016-03-25 07:50:00;"25/03/2016 07:50";1,185;1,185
2016-03-25 07:52:00;"25/03/2016 07:52";1,264;1,264
2016-03-25 07:54:00;"25/03/2016 07:54";1,201;1,201
2016-03-25 07:56:00;"25/03/2016 07:56";1,216;1,216
2016-03-25 07:58:00;"25/03/2016 07:58";1,222;1,222
2016-03-25 08:00:00;"25/03/2016 08:00";1,196;1,196
2016-03-25 08:02:00;"25/03/2016 08:02";1,191;1,191
2016-03-25 08:04:00;"25/03/2016 08:04";1,194;1,194
2016-03-25 08:06:00;"25/03/2016 08:06";1,218;1,218
2016-03-25 08:08:00;"25/03/2016 08:08";1,216;1,216
2016-03-25 08:10:00;"25/03/2016 08:10";1,207;1,207
2016-03-25 08:12:00;"25/03/2016 08:12";1,227;1,227
2016-03-25 08:14:00;"25/03/2016 08:14";1,179;1,179
2016-03-25 08:16:00;"25/03/2016 08:16";1,199;1,199
2016-03-25 08:18:00;"25/03/2016 08:18";1,191;1,191
2016-03-25 08:20:00;"25/03/2016 08:20";1,209;1,209
2016-03-25 08:22:00;"25/03/2016 08:22";1,209;1,209
2016-03-25 08:24:00;"25/03/2016 08:24";1,225;1,225
2016-03-25 08:26:00;"25/03/2016 08:26";1,151;1,151
2016-03-25 08:28:00;"25/03/2016 08:28";1,235;1,235
2016-03-25 08:30:00;"25/03/2016 08:30";1,251;1,251
