"ID";"Transect";"Wnum";"Date.Soil";"Date.ti";"Conc.mug.g.dry.soil";"Conc.ComSoil.SD";"N_compsoil";"comp.d13C";"comp.d13C.SD";"comp.d13C.SE";"DD13C.comp";"f.comp";"B.comp";"f.min.comp";"B.min.comp";"MassSoil.g"
"AW-N-10";"N";10;"07/06/2016 12:00";2016-06-07 12:00:00;0,364463888;"#DIV/0!";2;-27,529;1,10732921933814;0,783000000000001;3,6854;0,0795567710105763;92,0443228989424;0,149798636727726;85,0201363272274;541,044855862949
"AW-S-10";"S";10;"07/06/2016 12:00";2016-06-07 12:00:00;1,85107718;"#DIV/0!";3;-27,1583333333333;0,356446816977419;0,205794665733698;4,05606666666667;0,0617079564526079;93,8292043547392;0,123810042671041;87,6189957328959;2135,31004396746
"AW-T-10";"T";10;"07/06/2016 12:00";2016-06-07 12:00:00;8,197128761;"#DIV/0!";3;-27,686;0,746275418327576;0,430862313661027;3,5284;0,0885979888892755;91,1402011110724;0,162393221721046;83,7606778278954;5322,02576809632
"AW-N-11";"N";11;"14/06/2016 13:06";2016-06-14 13:06:00;2,097160081;"#DIV/0!";2;-27,9735;0,205768073325286;0,1455;3,2409;0,107906224300351;89,2093775699649;0,188271625591706;81,1728374408294;3113,2238641601
"AW-S-11";"S";11;"14/06/2016 13:06";2016-06-14 13:06:00;1,600907338;"#DIV/0!";3;-24,668;0,361772027663832;0,20886917755699;6,5464;0,0112236552541056;98,8776344745894;0,0344826583172891;96,5517341682711;1846,72662773175
"AW-T-11";"T";11;"14/06/2016 13:06";2016-06-14 13:06:00;5,698652406;"#DIV/0!";3;-28,0353333333333;0,487740026380174;0,281596835525149;3,17906666666667;0,112580941482613;88,7419058517387;0,19435631541618;80,564368458382;3699,87782703272
"AW-N-12";"N";12;"21/06/2016 12:00";2016-06-21 12:00:00;1,709254589;"#DIV/0!";3;-23,6946666666667;0,388605626996489;0,224361563355026;7,51973333333333;0,00577220901988958;99,422779098011;0,0209414397591795;97,9058560240821;2537,38006202301
"AW-S-12";"S";12;"21/06/2016 12:00";2016-06-21 12:00:00;2,79679309;"#DIV/0!";3;-25,2463333333333;0,422362798235514;0,243851275256958;5,96806666666667;0,0166672857766497;98,333271422335;0,0463872536997586;95,3612746300241;3226,24061303364
"AW-T-12";"T";12;"21/06/2016 12:00";2016-06-21 12:00:00;2,73724751;"#DIV/0!";3;-25,216;1,13472772064491;0,655135354971271;5,9984;0,0163250739212783;98,3674926078722;0,0456710890136732;95,4328910986327;1777,17127626287
"AW-N-13";"N";13;"28/06/2016 08:56";2016-06-28 08:56:00;0,257646927;"#DIV/0!";3;-22,7703333333333;1,07766336735241;0,622189235236712;8,44406666666667;0,00307152961823477;99,6928470381765;0,0130471612728096;98,695283872719;382,475600661558
"AW-S-13";"S";13;"28/06/2016 08:56";2016-06-28 08:56:00;1,193705542;"#DIV/0!";3;-23,2626666666667;1,25542595692989;0,724820514181116;7,95173333333333;0,00429791669489415;99,5702083305106;0,0167858560755669;98,3214143924433;1376,99900409999
"AW-T-13";"T";13;"28/06/2016 08:56";2016-06-28 08:56:00;2,369394476;"#DIV/0!";3;-24,2623333333333;0,774724036888836;0,447287131245443;6,95206666666667;0,00850621249116263;99,1493787508837;0,0280092945450432;97,1990705454957;1538,3409024941
"AW-N-14";"N";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,333641141;"#DIV/0!";3;-27,1653333333333;1,33814660382685;0,772579301934615;4,04906666666667;0,0620046782205255;93,7995321779475;0,124256278858422;87,5743721141578;1979,78373897291
"AW-S-14";"S";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,022027454;"#DIV/0!";3;-27,8386666666667;0,958631489850679;0,553466148718942;3,37573333333334;0,0983756397710123;90,1624360228988;0,175657087376977;82,4342912623023;1178,95974912115
"AW-T-14";"T";14;"04/07/2016 14:42";2016-07-04 14:42:00;1,586849529;"#DIV/0!";3;-26,0823333333333;1,34803721511438;0,77828964902392;5,13206666666667;0,029531620803717;97,0468379196283;0,0712386141833782;92,8761385816622;1030,26978466046
"AW-N-15";"N";15;"12/07/2016 01:00";2016-07-12 01:00:00;0,956420059;"#DIV/0!";NA;NA;NA;NA;NA;NA;NA;NA;NA;1419,80089112721
"AW-S-15";"S";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,161002151;"#DIV/0!";NA;NA;NA;NA;NA;NA;NA;NA;NA;1339,27400806601
"AW-T-15";"T";15;"12/07/2016 01:00";2016-07-12 01:00:00;1,311905359;"#DIV/0!";NA;NA;NA;NA;NA;NA;NA;NA;NA;851,760943309848
